end,value,state,type
1/8/00,298000,nat,h
1/15/00,289000,nat,h
1/22/00,284000,nat,h
1/29/00,285000,nat,h
2/5/00,312000,nat,h
2/12/00,300000,nat,h
2/19/00,283000,nat,h
2/26/00,280000,nat,h
3/4/00,286000,nat,h
3/11/00,270000,nat,h
3/18/00,271000,nat,h
3/25/00,272000,nat,h
4/1/00,266000,nat,h
4/8/00,268000,nat,h
4/15/00,259000,nat,h
4/22/00,274000,nat,h
4/29/00,291000,nat,h
5/6/00,293000,nat,h
5/13/00,276000,nat,h
5/20/00,280000,nat,h
5/27/00,280000,nat,h
6/3/00,290000,nat,h
6/10/00,284000,nat,h
6/17/00,294000,nat,h
6/24/00,296000,nat,h
7/1/00,281000,nat,h
7/8/00,293000,nat,h
7/15/00,303000,nat,h
7/22/00,300000,nat,h
7/29/00,298000,nat,h
8/5/00,306000,nat,h
8/12/00,315000,nat,h
8/19/00,318000,nat,h
8/26/00,312000,nat,h
9/2/00,301000,nat,h
9/9/00,309000,nat,h
9/16/00,311000,nat,h
9/23/00,288000,nat,h
9/30/00,292000,nat,h
10/7/00,309000,nat,h
10/14/00,299000,nat,h
10/21/00,295000,nat,h
10/28/00,301000,nat,h
11/4/00,331000,nat,h
11/11/00,318000,nat,h
11/18/00,332000,nat,h
11/25/00,356000,nat,h
12/2/00,338000,nat,h
12/9/00,321000,nat,h
12/16/00,354000,nat,h
12/23/00,364000,nat,h
12/30/00,353000,nat,h
1/6/01,337000,nat,h
1/13/01,318000,nat,h
1/20/01,343000,nat,h
1/27/01,362000,nat,h
2/3/01,376000,nat,h
2/10/01,365000,nat,h
2/17/01,358000,nat,h
2/24/01,386000,nat,h
3/3/01,384000,nat,h
3/10/01,393000,nat,h
3/17/01,393000,nat,h
3/24/01,378000,nat,h
3/31/01,388000,nat,h
4/7/01,398000,nat,h
4/14/01,383000,nat,h
4/21/01,400000,nat,h
4/28/01,406000,nat,h
5/5/01,381000,nat,h
5/12/01,390000,nat,h
5/19/01,402000,nat,h
5/26/01,405000,nat,h
6/2/01,406000,nat,h
6/9/01,411000,nat,h
6/16/01,394000,nat,h
6/23/01,381000,nat,h
6/30/01,394000,nat,h
7/7/01,401000,nat,h
7/14/01,405000,nat,h
7/21/01,398000,nat,h
7/28/01,388000,nat,h
8/4/01,401000,nat,h
8/11/01,394000,nat,h
8/18/01,402000,nat,h
8/25/01,395000,nat,h
9/1/01,402000,nat,h
9/8/01,408000,nat,h
9/15/01,395000,nat,h
9/22/01,453000,nat,h
9/29/01,517000,nat,h
10/6/01,476000,nat,h
10/13/01,482000,nat,h
10/20/01,482000,nat,h
10/27/01,483000,nat,h
11/3/01,440000,nat,h
11/10/01,428000,nat,h
11/17/01,431000,nat,h
11/24/01,491000,nat,h
12/1/01,465000,nat,h
12/8/01,393000,nat,h
12/15/01,389000,nat,h
12/22/01,416000,nat,h
12/29/01,421000,nat,h
1/5/02,397000,nat,h
1/12/02,418000,nat,h
1/19/02,405000,nat,h
1/26/02,414000,nat,h
2/2/02,404000,nat,h
2/9/02,397000,nat,h
2/16/02,397000,nat,h
2/23/02,398000,nat,h
3/2/02,392000,nat,h
3/9/02,399000,nat,h
3/16/02,392000,nat,h
3/23/02,415000,nat,h
3/30/02,479000,nat,h
4/6/02,445000,nat,h
4/13/02,442000,nat,h
4/20/02,416000,nat,h
4/27/02,414000,nat,h
5/4/02,409000,nat,h
5/11/02,413000,nat,h
5/18/02,411000,nat,h
5/25/02,403000,nat,h
6/1/02,378000,nat,h
6/8/02,388000,nat,h
6/15/02,396000,nat,h
6/22/02,388000,nat,h
6/29/02,386000,nat,h
7/6/02,391000,nat,h
7/13/02,384000,nat,h
7/20/02,379000,nat,h
7/27/02,390000,nat,h
8/3/02,388000,nat,h
8/10/02,389000,nat,h
8/17/02,399000,nat,h
8/24/02,398000,nat,h
8/31/02,394000,nat,h
9/7/02,416000,nat,h
9/14/02,412000,nat,h
9/21/02,401000,nat,h
9/28/02,409000,nat,h
10/5/02,404000,nat,h
10/12/02,405000,nat,h
10/19/02,412000,nat,h
10/26/02,409000,nat,h
11/2/02,405000,nat,h
11/9/02,400000,nat,h
11/16/02,389000,nat,h
11/23/02,390000,nat,h
11/30/02,377000,nat,h
12/7/02,425000,nat,h
12/14/02,429000,nat,h
12/21/02,394000,nat,h
12/28/02,409000,nat,h
1/4/03,393000,nat,h
1/11/03,378000,nat,h
1/18/03,402000,nat,h
1/25/03,407000,nat,h
2/1/03,413000,nat,h
2/8/03,390000,nat,h
2/15/03,420000,nat,h
2/22/03,421000,nat,h
3/1/03,436000,nat,h
3/8/03,424000,nat,h
3/15/03,430000,nat,h
3/22/03,411000,nat,h
3/29/03,436000,nat,h
4/5/03,417000,nat,h
4/12/03,434000,nat,h
4/19/03,450000,nat,h
4/26/03,444000,nat,h
5/3/03,428000,nat,h
5/10/03,417000,nat,h
5/17/03,425000,nat,h
